"miRNA"	"precursor"	"geomeanM"	"geomeanMN"	"geomeanP"	"geomeanPN"	"medianM"	"medianMN"	"medianP"	"medianPN"	"maxM"	"maxMN"	"maxP"	"maxPN"	"BFDR_MNminPN"	"BFDR_MNminM"	"BFDR_MminP"	"BFDR_PNminP"	"BFDR_MNminPNcorr"	"logfc_MNminPN"	"logfc_MNminM"	"logfc_MminP"	"logfc_PNminP"	"logfc_MNminPNcorr"
"hsa-let-7a-3p"	"hsa-let-7a-1_3"	169	184	171	196	187	238	186	217	312	330	419	306	0.279600827658836	0.153244914822493	0.747689605359621	0.489237921858639	0.383171088180419	0.0530018294342407	0.1436470664664	-0.00702875891789396	0.00359045266355008	-0.0760746297596504
"hsa-let-7a-5p"	"hsa-let-7a-1_2_3"	88299	92399	89599	105999	85192	102884	86309.5	109377	378384	170194	231982	265677	0.438433402992587	0.454377516133334	0.753064863266252	0.429476493069012	0.706738800993142	-0.0318728947156777	0.00985726721598715	-0.0124024983010933	0.0278861674053718	0.0160007543900929
"hsa-let-7f-1-3p"	"hsa-let-7f-1"	38	36.8	40.9	47.4	39	35	42.5	54	87	56	113	74	0.0124977951526742	0.430951922687047	0.760246166924053	0.414876819676154	0.729687667054572	-0.336711827165422	-0.0176372424056902	-0.000982596456322514	0.0266315927149643	0.117425446142459
"hsa-let-7f-2-3p"	"hsa-let-7f-2"	70.7	75.2	62.7	68.9	81	96	75	70	124	131	154	101	0.00228584777201529	0.410425889405762	0.750376200875703	0.473819189287297	0.650233705438442	0.318826231693326	0.0241446459597445	0.0042587505976956	-0.0114785954914861	-0.102953636177323
"hsa-let-7f-5p"	"hsa-let-7f-1_2"	53799	53699	50299	60099	49458	70221	53150	56188	108601	131677	98410	122099	0.509702344083226	0.449348497972523	0.749082399104292	0.276903629491006	0.593046264665904	0.00249477635465361	0.0112338685109294	0.00872516040216408	0.0702048389206506	0.00394169801313002
"hsa-miR-1"	"hsa-mir-1-1_2"	8.47	15.4	29.4	136	9	10	36	130	125	118	252	1367	1.53630980004942e-05	0.42245205194287	0.0107792678244954	9.40579693746272e-06	0.736556177596637	-2.37610306745957	0.051914736834005	-0.781115636769631	1.5026661622529	0.976032691288943
"hsa-miR-101-3p"	"hsa-mir-101-1_2"	11499	18899	9569	13699	11892	53206	10135	13199	55655	112241	24039	39210	3.53625744583984e-08	8.7074629907577e-08	0.652791190343401	0.196961075591898	0.674847182651932	1.29460446997754	1.34982772951873	0.0331980500457277	0.124506836598997	-1.03897654696403
"hsa-miR-101-5p"	"hsa-mir-101-1"	32.3	52.5	35.5	56.5	30	111	39.5	54	94	248	104	150	0.00356072447187247	5.05723026473645e-08	0.754773246324612	0.00936943818174883	0.000622221171965643	0.566123532816301	1.05305307083122	-0.00183558166795939	0.408401984674742	-0.64371127829104
"hsa-miR-103a-2-5p"	"hsa-mir-103a-2"	3.36	2	2.76	1.6	3	2	3	2	21	8	16	5	0.488992788673114	0.011460304370857	0.395432924164335	0.193560038952369	0.495807564348852	0.00134607783340016	-0.791441910739788	0.0279432942805734	-0.300936929582594	0.0333183076234881
"hsa-miR-103a-3p"	"hsa-mir-103a-1_2"	12699	11599	8529	9829	12506	12309	9522.5	10114	32436	27808	21878	15961	0.114194101937766	0.454657106451477	0.512015808967202	0.490298325353009	0.577682280647571	0.119680041095984	-0.00742133351559735	0.0636830215039959	-0.00338373602835592	0.00935032518786922
"hsa-miR-105-3p"	"hsa-mir-105-1_2"	1.06	0.23	0.6	0.2	0	0	0	0	75	0	25	2	0.0515044385229381	0.0444894748081248	0.578761019880856	0.079015053451679	0.16921388778512	-1.10254526446285	-2.08954009310985	0.0655848896018567	-0.843465288849799	0.789109149117171
"hsa-miR-105-5p"	"hsa-mir-105-1_2"	2.77	0.74	1.31	0.54	0	0	0	1	272	1	116	2	0.017273558171389	0.0104125807830002	0.647597590674386	0.0710017712596885	0.133928463192208	-1.25685596764899	-2.9080498428845	0.0371951505088989	-1.30858900374153	0.87041918582825
"hsa-miR-1185-1-3p"	"hsa-mir-1185-1"	7.78	8.24	9.3	5.2	8	8	12.5	6	46	19	27	12	0.277017864988598	0.449626214085267	0.466357039365742	3.58298205976254e-05	0.239256497520124	0.0977266978568234	-0.0034414791397475	-0.0796683303441184	-0.630046034514386	-0.199708085906266
"hsa-miR-1185-2-3p"	"hsa-mir-1185-2"	1.7	1.93	2.94	1.3	2	2	3	2	11	6	19	5	0.475556354814014	0.389098017440099	0.750276245077914	0.00863245888707194	0.355590912678641	0.0264538661942699	-0.0499362601125068	-0.028701591645078	-0.705673879297634	-0.158822448776458
"hsa-miR-1185-5p"	"hsa-mir-1185-1_2"	7.87	9.3	11.1	12.8	8	10	13	17	47	16	64	30	0.0137552901703223	0.441593040551706	0.15319913694023	0.477454502555533	0.701242292338119	-0.550592039569751	-0.0234592161282147	-0.265422519460907	-0.00664821026619865	0.0535694740579382
"hsa-miR-1233-3p"	"hsa-mir-1233-1_2"	0.0800000000000001	0.11	0.26	0.11	0	0	0	0	1	1	2	2	0.37137636221371	0.380368767987528	0.496818835488224	0.327394190173307	0.453673426304996	-0.0908555404187126	0.00841914740519026	-0.0998313607865241	-0.1172651663602	-0.0784599612188401
"hsa-miR-124-3p"	"hsa-mir-124-1_2_3"	0.21	0.48	0.73	3.42	0	0	0	4	3	1	27	23	2.304778454936e-08	0.321518102384836	0.258410667123683	0.00404541649418943	0.719321682383386	-2.71588274906018	-0.135465142171409	-0.279301402918826	1.01986998608907	0.828056413075904
"hsa-miR-1244"	"hsa-mir-1244-1_2_3"	0.32	0.24	0.26	0.32	0	0	0	0	2	1	16	15	0.100949812610424	0.0323776751287432	0.659069176164786	0.294168107473481	0.692205257729816	-0.911501209754469	-1.06773532244348	-0.0338776928908914	0.104605900283861	0.635306742119137
"hsa-miR-1254"	"hsa-mir-1254-1_2"	6.61	2.86	8.33	2.57	7	2	6	2	45	7	52	6	0.480748637248854	0.000557562160783289	0.228480339521652	0.000348627800831073	0.682362502796498	-0.0175717087184158	-1.09734536081891	-0.0356705520094911	-1.1934092938383	0.0298471402501014
"hsa-miR-1255b-5p"	"hsa-mir-1255b-1_2"	0.35	0.42	0.21	0.56	0	0	0	1	3	3	3	4	0.415572259919903	0.386407575312787	0.706586009342101	0.1238014143668	0.404878075148826	-0.0576617679950719	0.0558652079256217	0.0144649688642017	0.370422590868717	0.132307655875527
"hsa-miR-125b-1-3p"	"hsa-mir-125b-1"	81.5	90	93.5	60.6	82	84	91.5	61	553	723	575	200	0.042257398756811	0.180944589080613	0.623562686411086	0.0210437223993725	0.0808246252076925	0.459662857392191	0.175620765256101	-0.0433133652936596	-0.493319174687452	-0.470039895025712
"hsa-miR-125b-2-3p"	"hsa-mir-125b-2"	179	458	145	129	186	1962	209	110	1231	3598	1285	494	1.32794464406379e-07	1.58220075053985e-07	0.736978972561067	0.109014710193467	0.675384625325235	2.39593408694341	1.9371647103683	0.00667137570647037	-0.313591083463194	-2.23120277595056
"hsa-miR-125b-5p"	"hsa-mir-125b-1_2"	1999	3789	2319	2229	2137	8465	2903	2362	10179	18231	11591	8327	2.37553142614401e-06	3.30147497902041e-07	0.568018738698312	0.424763344450534	4.34062396795954e-05	1.12440055651118	1.37464295204459	-0.0585345404654683	-0.0342416061088977	-1.2768237239122
"hsa-miR-1270"	"hsa-mir-1270-1_2"	1.87	1.78	1.92	1.88	2	3	1.5	2	11	9	9	7	0.468743251331948	0.379146922491924	0.746009530147499	0.473300777627903	0.64658779581897	0.0323535978313389	0.055650216696142	-0.000937636131770112	0.00723656666242355	0.00747867064248198
"hsa-miR-128-1-5p"	"hsa-mir-128-1"	14.8	13	14.8	14.4	14	11	18	18	58	26	57	38	0.456513413809402	0.432360883887264	0.71790422002606	0.281080917176416	0.70591904600733	-0.0382371932626794	-0.0204823689760782	-0.0185378205579618	-0.0746370062117199	0.0312459281978406
"hsa-miR-1283"	"hsa-mir-1283-1_2"	0.25	0.12	0.14	0.03	0	0	0	0	5	4	8	0	0.0908791151822547	0.272935691979808	0.622366005418382	0.205019717557931	0.218076874184584	1.05917540867904	0.183835410853513	-0.0410983809674729	-0.423348804944306	-0.568031398156421
