"ridge" "grridge" "gren1" "gren2" "gren3" "enet1" "enet2" "enet3" "sgl1" "sgl2" "sgl3" "cmcp1" "cmcp2" "cmcp3" "gel1" "gel2" "gel3"
"pred1" 0.48816996620482 0.487497953868266 0.468479962391164 0.472970315570324 0.438855864696802 0.460444555375449 0.488740741013455 0.453821436864992 0.378946947999276 0.0368160989803666 0.380824497521143 0.490994433330709 0.497974121139816 0.492851935683341 0.532243769242707 0.423313832334258 0.406521093764547
"pred2" 0.441833623737555 0.442963298088183 0.371456176495518 0.384107866265032 0.325869491851659 0.371440070067976 0.421158202370035 0.317418414536572 0.164432429586739 0.19042747847154 0.0299976392515533 0.387736743316356 0.403652035967494 0.44639162961709 0.383257661303261 0.288097805136944 0.0782731052095445
"pred3" 0.600151732539161 0.593012730393268 0.541437312459468 0.560235882853508 0.586137845945202 0.545346395817202 0.521956359403996 0.545677293170776 0.5 0.5 0.5 0.4888919660565 0.474675675474183 0.495770762530199 0.545549923338958 0.504314564984317 0.514426703524601
"pred4" 0.629420451374057 0.639896985818249 0.691695147536885 0.651569304525648 0.611234979052458 0.620767992255492 0.60466722801583 0.557236722197214 0.520875199582929 0.562751719759732 0.947148329508545 0.499872738309285 0.495437242387641 0.494290405639825 0.714204654225077 0.499003292266149 0.991078844497382
"pred5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred6" 0.614251010032384 0.613832924173667 0.62122168801593 0.588802938867293 0.521835676572647 0.638689740661017 0.613616360649769 0.658323691917645 0.5 0.99176412590786 0.996971243992161 0.635857369961552 0.52824235195022 0.560996810946152 0.694875302422328 0.702253741264171 0.738988403819914
"pred7" 0.796591982841765 0.796591982841765 0.737161245597801 0.764845472176962 0.792869315349227 0.741932461841411 0.590727628682678 0.549650048540811 0.969924759446859 0.942533050904875 0.99967322988867 0.552821805316524 0.507411473225355 0.523648256659893 0.541929443408222 0.633695550764859 0.656184478631088
"pred8" 0.606445267876019 0.598030336545871 0.535275598118628 0.516911775593431 0.438108728620423 0.572691108624245 0.523611836040974 0.484494291883492 0.455028067837516 0.431897504473398 0.700642987807971 0.487369084089929 0.367829276146364 0.43789285865127 0.545237967811378 0.258803960405807 0.926039284205202
"pred9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred10" 0.644720145254493 0.644720145254493 0.62416997987086 0.49558464381082 0.478842186977418 0.630963227208958 0.491280376423142 0.477821609219687 0.750067854552745 0.751553142354868 0.895931112491948 0.49216917110707 0.485355198552038 0.486218004267752 0.479203971670818 0.492143527860294 0.493483017386367
"pred11" 0.464029705635377 0.46830950717931 0.494869840966824 0.459856548692571 0.483151800617584 0.461680219164537 0.400302372362145 0.395568756164019 0.208831864483975 0.0125320917118193 0.00250858136078042 0.404927843886266 0.47866210902308 0.466881208814152 0.374715265225556 0.312654779858002 0.2785400948503
"pred12" 0.827162249135925 0.828718511577436 0.809180395182245 0.613189799178366 0.664168642813663 0.784375668230138 0.479268962056757 0.465871305438396 0.624370359585574 0.667629311253464 0.338063999221629 0.488907453348292 0.482081210707965 0.478231859151236 0.473090713774188 0.424333355933328 0.411520159971168
"pred13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred14" 0.746810251467041 0.753220250221202 0.787397679742831 0.743812620109322 0.792326112501828 0.766830106549499 0.614855341540927 0.60035828627102 0.890513768379566 0.979365393561306 0.998684941777712 0.53014766676604 0.51680323923688 0.522070444206029 0.571193209460242 0.601645462080605 0.622747755531948
"pred15" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred16" 0.683111699821737 0.683111699821737 0.720069913513248 0.525478351531513 0.592377909379943 0.71308723451481 0.425675170724059 0.418501617000657 0.143518397450626 0.183201155625041 0.0301268657076147 0.454481238196683 0.46678888185321 0.454743973352297 0.427304280297838 0.372774308158617 0.355872449269637
"pred17" 0.280445763450113 0.282128717258663 0.238444397544845 0.187839809076122 0.244080981709671 0.244319365853616 0.488217176578562 0.317520250608802 0.5 0.517072144778702 0.0993068603659608 0.325372616201593 0.49682285237111 0.482442629007126 0.159329764969306 0.419619340096174 0.402489026074835
"pred18" 0.42959171727877 0.428604625079982 0.369981495456071 0.43395341932757 0.434035287447454 0.383761338903444 0.580677150010744 0.461631232488528 0.690099765441634 0.707562561964272 0.976228799292866 0.520356713046236 0.582920337539174 0.557075028074163 0.332198546779956 0.658016409261918 0.468251401468576
"pred19" 0.882731040326003 0.88444914274452 0.868824382367357 0.80275568097819 0.844955459428687 0.856417508559066 0.688227667860408 0.656020006560129 0.956928918436291 0.998024767436636 0.999994814564667 0.549225392128057 0.513750168950554 0.51821751638197 0.610916024002955 0.586427870198541 0.604837790149814
"pred20" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred21" 0.83539368482423 0.837786747457043 0.911805339409001 0.964636217596784 0.901309059623328 0.894484287615732 0.649204237525549 0.88859792324619 0.5 0.999929515953651 0.999955767573593 0.883367888367161 0.525170839343024 0.553373468696126 0.912991593490771 0.677486565567744 0.710967358074856
"pred22" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred23" 0.66185308245049 0.671559127567506 0.691312929265977 0.631835434660977 0.739747189330924 0.602457303672128 0.575394520180111 0.502647893254758 0.339830201588229 0.354251988849641 0.383700429438909 0.4913471520684 0.475396836334638 0.485596795307816 0.763328339329689 0.458913354521455 0.988527472073787
"pred24" 0.417292753659633 0.418224960645547 0.458087519925061 0.37017028981575 0.31709587162482 0.40457557016108 0.310430895277611 0.270618631484437 0.5 0.5 0.5 0.363694653148515 0.433131916585292 0.336863001247699 0.431240451855118 0.306570435371879 0.275977069720424
"pred25" 0.766188381038185 0.770698177515399 0.739000045426696 0.555374236322907 0.583840499040028 0.710669417561567 0.503166365818663 0.50701545761797 0.730213990263091 0.797735140986244 0.37157248971708 0.499488999881912 0.504458189694259 0.506486533211298 0.49995136418289 0.539234055712679 0.548799144146502
"pred26" 0.425675051304005 0.429108821464682 0.41154166176205 0.499169446775329 0.359434398865263 0.404927784818591 0.385603337015064 0.332575886101859 0.0692038904686401 0.079978250757186 0.00435436067149365 0.35719350473219 0.373689344806866 0.427365021402581 0.445163288755434 0.235788417574337 0.660513121153455
"pred27" 0.689927553351606 0.69308365606879 0.747658081432006 0.841671934913427 0.663892429422262 0.712173939635369 0.457271693348302 0.660098683612441 0.5 0.0575924812424615 0.0236429273202287 0.615493728956689 0.488604304976819 0.461894819090499 0.770383158682199 0.346740982410215 0.316390874633151
"pred28" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred29" 0.596780984900425 0.596772012812999 0.603391879648005 0.682389588207095 0.6516403800904 0.614878719287888 0.498554541392054 0.67975854152821 0.679655904715776 0.655222076085335 0.522866187332748 0.588374176789401 0.485048829600037 0.496838400437858 0.701002567768879 0.45163753847404 0.999930606291062
"pred30" 0.470427895125942 0.459217136994317 0.436158270379457 0.445440442065307 0.43893355419337 0.516842207647152 0.497931517601648 0.533580887998512 0.5 0.5 0.5 0.445542792252402 0.440966759739695 0.365422954334446 0.390436183955681 0.341203630087428 0.31639412433218
"pred31" 0.38302058570165 0.375864353616313 0.328494845636046 0.275864059769852 0.223999829358421 0.364341343593371 0.375818396067631 0.38678071756444 0.177440725537081 0.180990160377621 0.0292789431261761 0.479885467704431 0.404308446675991 0.454389306010607 0.288154740453746 0.322190454390075 0.00497396795738216
"pred32" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred33" 0.383256751873199 0.386477899110582 0.42735852634617 0.476008010146285 0.483258684995062 0.430588492695534 0.480005083759745 0.515272728534183 0.5 0.5 0.5 0.482394085243056 0.448870315051939 0.39511124899678 0.41707091487472 0.37780382217816 0.360011427668809
"pred34" 0.275694526811767 0.276115910802683 0.290390472999546 0.314636975376569 0.266753041316092 0.293513370447222 0.342132603461247 0.277274878248441 0.166935867232846 0.00131414394342458 0.000511015634196473 0.349674778749397 0.485605023469566 0.476210543070816 0.401028940487618 0.350786463119735 0.321811335425432
"pred35" 0.932341184685311 0.932166582636057 0.898896689196563 0.803566121704866 0.862518610829965 0.891594241632864 0.714984804783346 0.778913891210467 0.918928668267406 0.999662813111498 0.999605452708566 0.716524116358954 0.534001763702989 0.541334670539808 0.647470605779414 0.64205294139378 0.666431991855109
"pred36" 0.657414111493917 0.657414111493917 0.675149471373367 0.622262340153239 0.661432147353956 0.666911022118439 0.512663563103724 0.503939006742882 0.725869161072095 0.71118519760924 0.968578958949624 0.50230385451429 0.480422538369162 0.477845315358279 0.501142615384531 0.459796943940811 0.455966518091925
"pred37" 0.333253947615489 0.32782707751686 0.296052342112197 0.195360885606608 0.163131597703755 0.330769031606508 0.265361641643308 0.23136908141236 0.5 0.5 0.5 0.382562149535311 0.452463963990086 0.408851646651191 0.291474495542332 0.394905824007148 0.380640280305409
"pred38" 0.402804830202758 0.400571250067878 0.369619923561252 0.285878901704465 0.265741206051874 0.370867727085259 0.30947170586764 0.274981290247553 0.5 0.5 0.5 0.383008690401057 0.463950240740316 0.453508232901643 0.378458901732866 0.450964341754065 0.44898151117694
"pred39" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred40" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred41" 0.794057505293872 0.796693339756591 0.784112137773236 0.678002130252549 0.705775619085414 0.772755052541423 0.53551625124907 0.513396899575884 0.782024993847228 0.945238929433926 0.996311729018178 0.523922308581102 0.479129895932554 0.474507493255295 0.534069529699936 0.40949603527084 0.393942118191804
"pred42" 0.672043118540377 0.672043118540377 0.646478997254014 0.654547824314883 0.674287554035429 0.641655209774188 0.593860139854321 0.593079372719769 0.924884741905905 0.899412488424439 0.999404863544774 0.545794882284356 0.513144049420565 0.533352321084851 0.579542046833224 0.667913059369894 0.694477842342425
"pred43" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred44" 0.486241755966171 0.485679275560227 0.410700739331497 0.516845630003463 0.324652024808772 0.438448673329786 0.606163778650856 0.365186191473396 0.534489381888163 0.600195004570929 0.909366536945346 0.591235344798845 0.619373394763999 0.579950317207977 0.296867486397519 0.727419996721209 0.984650605899579
"pred45" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred46" 0.459011020319334 0.46356888678038 0.433855376645547 0.376442521823266 0.321278223720177 0.42460785490075 0.363922286410767 0.325226507975266 0.5 0.5 0.5 0.418521573767656 0.475803373465142 0.500222350465041 0.47417990027429 0.509931742381059 0.521308655546454
"pred47" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred48" 0.505690119893325 0.497610308825138 0.42199692222031 0.356914718153065 0.378883959970911 0.435310517309234 0.423941921862293 0.430220104082987 0.5 0.5 0.5 0.416774888281324 0.455456088696419 0.420388046717837 0.438974001517347 0.409327733966222 0.398132471940247
"pred49" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred50" 0.41657489744555 0.41657489744555 0.42256261075313 0.552118928940014 0.54398442053864 0.416508691484928 0.537424036244943 0.52030358907553 0.728859544625823 0.727036929395796 0.853901186292847 0.517955262247248 0.508248722758939 0.525066569741248 0.516930196624528 0.638787027130274 0.661919933656419
"pred51" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred52" 0.620555355874957 0.627239810250047 0.664666200287064 0.603853151154887 0.691255927264497 0.566607286297589 0.607770686759442 0.61073978716966 0.764375786501849 0.743930022674849 0.983230707291757 0.509333049577053 0.568510076296562 0.526136067439959 0.688788574000805 0.642212842423567 0.999511294718731
"pred53" 0.768979832959413 0.771649151701431 0.784910183608018 0.755851159456947 0.743757028877294 0.69642820160593 0.716780401863937 0.716385752989462 0.5 0.5 0.5 0.644205147425879 0.511197291491955 0.636158332087014 0.786098430024571 0.677819411101916 0.720869204153184
"pred54" 0.374677115036519 0.374677115036519 0.413802408660173 0.474883801544553 0.451524131616318 0.393574018859741 0.490063807892359 0.471923939427236 0.317460453769659 0.405728736422767 0.59124641538185 0.492828551003876 0.493552790343134 0.50013748647623 0.474713870983502 0.545875388338194 0.555743568864749
"pred55" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred56" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred57" 0.461756073729873 0.46452064256144 0.429048419762885 0.401605218418365 0.389549183473264 0.411007059613898 0.432249436633914 0.34313181553212 0.5 0.223889240315997 0.0180697307790699 0.410879642984417 0.495581866015286 0.479334964465459 0.472147781893309 0.408300514937707 0.38894122325764
"pred58" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred59" 0.329328368396462 0.323624539494098 0.32140568340368 0.414989285497986 0.44539124413672 0.356017802059712 0.436850002575877 0.454334439522854 0.347111826733427 0.333712189342124 0.294649777685902 0.491109688574558 0.506878803347201 0.499251040135243 0.291018057539893 0.521909123120095 0.0163299480820163
"pred60" 0.56428100783067 0.569965088279758 0.564819164527865 0.563404017549738 0.607675258063173 0.542887965260001 0.49672828885135 0.494098380590542 0.56488211575132 0.306356068454145 0.346378029314918 0.506563221410752 0.503323142665485 0.500053359303123 0.444920143152963 0.455933938130426 0.445303525962643
"pred61" 0.603086146845961 0.605250388095918 0.6536718082719 0.59680644146776 0.605992931809235 0.641658375993077 0.576364258421661 0.561163802168609 0.635096033941894 0.775803980247025 0.913785845215764 0.506787496954316 0.513115697207801 0.517416707709353 0.52733030546863 0.583244259499097 0.601079284434111
"pred62" 0.623923458067549 0.62181613628792 0.598499863211705 0.513869874670074 0.56850123363823 0.60432649954962 0.600615372621803 0.579514297740058 0.5 0.978313791292666 0.99218667826625 0.513549109475493 0.529051062152915 0.563000218329443 0.658844229381487 0.708592460713038 0.746069922049292
"pred63" 0.844560557619601 0.844560557619601 0.836668228354207 0.744957919803005 0.791709548751817 0.842822456767076 0.639214828287785 0.663951082366921 0.953577861360946 0.922709567550863 0.99995581078661 0.564321357668526 0.529532747444785 0.560972176775813 0.642118743213757 0.755859036604766 0.789449807511412
"pred64" 0.619326298685491 0.60567048200051 0.50762258184193 0.501188796560489 0.500396130234518 0.554448555540859 0.521605113083876 0.534999078021825 0.5 0.5 0.5 0.523199687199544 0.470663530018596 0.479934554312142 0.521566000174115 0.484319810876196 0.489902354432155
"pred65" 0.620203328921682 0.61951693938098 0.600047053868608 0.653845104418815 0.598344253724713 0.578333402666907 0.575694597342928 0.551569756998421 0.5 0.886189892820833 0.970458223214122 0.553924697974881 0.527188910392976 0.558384708773345 0.61119146225673 0.693880792044274 0.729576431783415
"pred66" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred67" 0.386655388950739 0.385616060527892 0.342760751156787 0.369076598904061 0.31800520048446 0.357491883251752 0.531674937479365 0.370137876606602 0.437384588961382 0.488436878321369 0.55031733555709 0.461076724179404 0.540682956575019 0.530968687936864 0.261983008044434 0.570842920297083 0.619032146496189
"pred68" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred69" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred70" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred71" 0.548831042314934 0.540538850019679 0.495834887039165 0.505471254230228 0.532179027625684 0.541596806873357 0.517321085669847 0.483192752962667 0.669237729040537 0.671682208283177 0.73569790032875 0.49603885706728 0.482660147251706 0.488749418192908 0.446264427450613 0.473420714708045 0.131465634873807
"pred72" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred73" 0.385283347985081 0.385283347985081 0.398568460877012 0.413973341446596 0.396498921942643 0.399895607054853 0.464126948478748 0.471561891724157 0.208468311534637 0.240166871380096 0.123413053162007 0.471850996718215 0.478171406209999 0.474026045061227 0.473393169073099 0.445122466822057 0.438975122110226
"pred74" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred75" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred76" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred77" 0.500377992851357 0.498277041936608 0.53292109786097 0.532209128959579 0.532918663041498 0.539871978132182 0.522450911620629 0.581062628980207 0.343569958450354 0.0322806051234596 0.160349126527791 0.51663094863808 0.501090232586401 0.49704697866614 0.463414835857292 0.442254206736986 0.429004446767974
"pred78" 0.597833367814797 0.593566651635322 0.569066836145753 0.622375847333339 0.669291514392295 0.556589520228356 0.560663660492927 0.584771444650038 0.7751057503471 0.754640176901087 0.988059829198917 0.508841539723248 0.565202485867389 0.524679677688648 0.557897648211112 0.635988962875147 0.728261678111961
"pred79" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred80" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred81" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred82" 0.50260420900445 0.499420900124283 0.442508365296215 0.435083942599604 0.372107349467997 0.477328203408694 0.474463679461187 0.418413623485301 0.729773807824118 0.666525847228186 0.322920238806531 0.489281086030392 0.532179537370712 0.5388863239185 0.529911542137142 0.63157104008438 0.654253746773693
"pred83" 0.588400620309351 0.588400620309351 0.562815346379095 0.581224472190955 0.590934633951453 0.562956576908554 0.534776978322674 0.534589681464247 0.833370774031233 0.812687369777326 0.966252375020303 0.512166270764297 0.500443569017028 0.511833867204219 0.528606685538589 0.590261375712644 0.606814752161328
"pred84" 0.662155317491407 0.66433327661822 0.756455806976426 0.897786648872333 0.818393037822526 0.713209637228533 0.469440687854972 0.708656738468927 0.5 0.5104806570803 0.30486763557007 0.67486225132208 0.50076512844753 0.492322225049494 0.745000360400346 0.456083539139386 0.44642654175893
"pred85" 0.384154215543365 0.366277748184764 0.30968380340465 0.25388888705841 0.246897523857568 0.362988243851872 0.414853795730812 0.441738021740559 0.136432110460833 0.0340101588972478 0.00444549759509409 0.457869724785018 0.461998567191724 0.452913460491868 0.393999314299873 0.327151975477299 0.298198634416031
"pred86" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
