"ridge" "grridge" "gren1" "gren2" "gren3" "enet1" "enet2" "enet3" "cmcp1" "cmcp2" "cmcp3" "gel1" "gel2" "gel3"
"pred1" 0.48816996620482 0.486306050359287 0.458051414673223 0.469308805501777 0.460379300520157 0.460444555375449 0.488740741013455 0.453821436864992 0.507471791485569 0.498767358379967 0.492205456808263 0.473797936742951 0.49778486107825 0.497180387659536
"pred2" 0.441833623737555 0.450264897849611 0.390955687460002 0.409265247864979 0.348323133010774 0.371440070067976 0.421158202370035 0.317418414536572 0.382010031991701 0.477918334518264 0.441711186364789 0.353729396795763 0.285693880658303 0.247718518172607
"pred3" 0.600151732539161 0.599296889734821 0.53633243447257 0.516934914140596 0.505860640629696 0.545346395817202 0.521956359403996 0.545677293170776 0.485831322745312 0.488133283108744 0.49241593449845 0.651592160578482 0.50459038064763 0.848222191184807
"pred4" 0.629420451374057 0.631211264921801 0.651012345551061 0.603437744349317 0.549245925800512 0.620767992255492 0.60466722801583 0.557236722197214 0.525764318733317 0.49489697855494 0.494495712489259 0.567350356950594 0.914310617347209 0.501396738752046
"pred5" 0.659387932654106 0.668440560300487 0.641568869516071 0.738892269185174 0.745365577581506 0.610626304749461 0.55243511417657 0.557678335099166 0.532967613138565 0.554881864489244 0.540348488314674 0.621750430444324 0.899930043434198 0.995472927826893
"pred6" 0.614251010032384 0.611411486768614 0.611281472527248 0.615887946078105 0.553744726088713 0.638689740661017 0.613616360649769 0.658323691917645 0.599206591711923 0.537973420263311 0.54808766550014 0.620083631455969 0.702253741264171 0.738761798770954
"pred7" 0.796591982841765 0.795681304547928 0.736458259209707 0.637284321576006 0.595005764837514 0.741932461841411 0.590727628682678 0.549650048540811 0.549412169123249 0.494300284005807 0.509413805402847 0.548745888568292 0.587681175717675 0.610284294736483
"pred8" 0.606445267876019 0.598130986482761 0.561093488025187 0.488504307530131 0.53199127302499 0.572691108624245 0.523611836040974 0.484494291883492 0.500655561814332 0.396994771928154 0.423020517557239 0.542063741812999 0.630052445160768 0.218017153293654
"pred9" 0.537123456450085 0.534999996537684 0.566575745770495 0.393465803037269 0.391882850644598 0.575659732457377 0.466547271065131 0.466784077960746 0.482921954231779 0.487128502917562 0.494315965097262 0.566388907756168 0.913213267909988 0.999600063684123
"pred10" 0.644720145254493 0.651102040536525 0.634017074188732 0.625706499991267 0.639016091525885 0.630963227208958 0.491280376423142 0.477821609219687 0.491089847574592 0.481032886995925 0.476563821092528 0.478660573999068 0.457536917640313 0.453701635976237
"pred11" 0.464029705635377 0.464702548569064 0.460346898160809 0.396091027812193 0.410632698452857 0.461680219164537 0.400302372362145 0.395568756164019 0.470134262068593 0.480487512799116 0.46539540427559 0.476579148415914 0.401927591457777 0.37901657286084
"pred12" 0.827162249135925 0.826222563907628 0.790999494901282 0.600365919673527 0.588082409984401 0.784375668230138 0.479268962056757 0.465871305438396 0.482808555025509 0.481766301362663 0.481990948554752 0.480425351440211 0.423568081298549 0.411561778298436
"pred13" 0.765928462554082 0.770957546166732 0.78590433781197 0.768456284211191 0.774960563868454 0.775720527028579 0.558011666085462 0.563419335065267 0.534867186781009 0.533339855958532 0.525681329475558 0.797276153794169 0.991132402657638 0.999994967888206
"pred14" 0.746810251467041 0.727553944346859 0.697251042049726 0.627326356551617 0.631795368835087 0.766830106549499 0.614855341540927 0.60035828627102 0.565459773894306 0.517233079829172 0.516926407797768 0.562801049380966 0.602880717807401 0.62268104554301
"pred15" 0.876574817664666 0.908981651604318 0.922167896103396 0.950430628090405 0.95987506973354 0.830073925880431 0.637098589435183 0.646812975519557 0.61745369310724 0.5631338112407 0.515923566878981 0.876208222717363 0.729645299195369 0.999861222853786
"pred16" 0.683111699821737 0.683558690327761 0.729568547439443 0.524893621728863 0.53482531703958 0.71308723451481 0.425675170724059 0.418501617000657 0.455363338420714 0.470128014023235 0.449654780801261 0.420729249171785 0.353829522914622 0.330054350019
"pred17" 0.280445763450113 0.270018776306609 0.212531973508341 0.289878848727035 0.23243978193411 0.244319365853616 0.488217176578562 0.317520250608802 0.427948129551025 0.492550592794526 0.488110330637527 0.333100385367373 0.419619340096174 0.402598068161861
"pred18" 0.42959171727877 0.445963334244421 0.422378115938445 0.672086208655812 0.546931341582527 0.383761338903444 0.580677150010744 0.461631232488528 0.520166471277134 0.538341395392981 0.55987562622668 0.325320035165146 0.659699143463873 0.687189600258732
"pred19" 0.882731040326003 0.88114301229576 0.857306868920912 0.732095566175383 0.728906434566978 0.856417508559066 0.688227667860408 0.656020006560129 0.60549834138157 0.514114624753838 0.513854598804517 0.582480006122313 0.587501233232274 0.604779507655434
"pred20" 0.577518977786558 0.586304811647786 0.608888516080617 0.542509907571761 0.517727053551505 0.58840189809789 0.468923947008504 0.463498565058703 0.486274040272679 0.477659252492687 0.487885388194775 0.627660298316639 0.866471797848443 0.988131802928877
"pred21" 0.83539368482423 0.851684286784987 0.933659378871849 0.868444916802572 0.94776102256177 0.894484287615732 0.649204237525549 0.88859792324619 0.728927119605313 0.533540105919626 0.54224653615556 0.772638494835878 0.677486565567744 0.710758727857475
"pred22" 0.744427986876506 0.746811172914269 0.705832206491642 0.737032844930027 0.560811313507695 0.701558098619646 0.759124078240111 0.644871895343866 0.652493658144559 0.509245631774161 0.521153931398197 0.782342364267812 0.917674559702699 0.998487699212075
"pred23" 0.66185308245049 0.654419618527176 0.623130483238558 0.597380403428391 0.578306853144418 0.602457303672128 0.575394520180111 0.502647893254758 0.485531228738751 0.479666502040992 0.483447021134138 0.487696458577943 0.909878111039675 0.452364051287427
"pred24" 0.417292753659633 0.413432568836879 0.400337603204234 0.364064954649441 0.329665515388446 0.40457557016108 0.310430895277611 0.270618631484437 0.402163619531102 0.368165978665806 0.350087660158082 0.37855680652473 0.305666443913235 0.673401444411602
"pred25" 0.766188381038185 0.752692371909922 0.689164792457911 0.535949409028404 0.546412039094448 0.710669417561567 0.503166365818663 0.50701545761797 0.503699109025506 0.50462337703622 0.504505512776277 0.521778263988124 0.539782833891048 0.548768965720449
"pred26" 0.425675051304005 0.419093872732197 0.384126501511988 0.299674159336823 0.380973667637583 0.404927784818591 0.385603337015064 0.332575886101859 0.352085014139496 0.467421544535656 0.421445042615007 0.445612996482592 0.233078872511503 0.191387258742121
"pred27" 0.689927553351606 0.723208246324819 0.819070376176332 0.753733135532009 0.812480855120255 0.712173939635369 0.457271693348302 0.660098683612441 0.499923830223934 0.48066752221028 0.472419352076448 0.611266989957124 0.346740982410215 0.316581000327891
"pred28" 0.751739814014507 0.722112104709947 0.648673421565657 0.474372601191599 0.481162826183518 0.692438223394298 0.49437235688339 0.491437184535114 0.503344954750207 0.4999015235391 0.515923566878981 0.77870967356985 0.499825252544422 0.999999112040633
"pred29" 0.596780984900425 0.587057730667839 0.607446833543907 0.478984628982673 0.658630842694443 0.614878719287888 0.498554541392054 0.67975854152821 0.581741681920732 0.505483276504676 0.495553001097265 0.590598692712064 0.450898936301499 0.438843719861893
"pred30" 0.470427895125942 0.478140189511073 0.552786098583103 0.612533166779983 0.635878969318085 0.516842207647152 0.497931517601648 0.533580887998512 0.447908168850207 0.390181564226007 0.375911639010162 0.38932895427841 0.340476107801284 0.000988755543176515
"pred31" 0.38302058570165 0.384034709062685 0.366144405429576 0.356242292430945 0.344563817035242 0.364341343593371 0.375818396067631 0.38678071756444 0.443931063386954 0.425313446178944 0.443856779329025 0.429349153477768 0.302792820930882 0.289104368272143
"pred32" 0.737933035881037 0.74066099767774 0.719287933584018 0.797407729561352 0.800675871022835 0.715912511963536 0.643814280391795 0.663164835459981 0.617976055561313 0.570428033027314 0.515923566878981 0.768739630655586 0.780567719744618 0.938969733178924
