"gren1" "gren2" "gren3" "enet1" "enet2" "enet3"
"combn1" 11 12 11 4 5 4
"combn2" 16 13 11 2 5 3
"combn3" 11 9 10 2 4 3
"combn4" 6 6 7 0 1 0
"combn5" 11 11 11 7 5 2
"combn6" 12 8 11 3 4 0
"combn7" 10 8 7 3 3 2
"combn8" 12 11 6 2 3 1
"combn9" 2 2 0 6 3 2
"combn10" 12 7 6 5 3 3
"combn11" 14 12 13 9 6 3
"combn12" 10 10 9 3 1 2
"combn13" 7 8 12 1 3 3
"combn14" 9 9 8 2 2 1
"combn15" 13 11 12 0 3 2
"combn16" 13 10 7 7 7 3
"combn17" 8 8 9 2 4 1
"combn18" 9 10 8 2 3 1
"combn19" 13 11 11 2 6 4
"combn20" 13 13 9 7 5 3
"combn21" 12 9 11 7 6 4
"combn22" 8 7 6 1 0 1
"combn23" 11 6 7 5 2 0
"combn24" 10 12 11 4 4 1
"combn25" 14 11 10 3 4 0
"combn26" 11 9 8 4 2 1
"combn27" 15 12 12 7 5 3
"combn28" 8 9 9 3 1 0
"combn29" 9 7 7 1 2 2
"combn30" 12 10 11 4 3 3
"combn31" 6 5 4 6 4 2
"combn32" 14 11 9 2 5 3
"combn33" 10 7 7 6 6 5
"combn34" 10 8 6 3 4 1
"combn35" 12 7 6 4 3 0
"combn36" 9 11 12 3 3 1
"combn37" 10 4 6 3 2 1
"combn38" 9 9 13 2 3 1
"combn39" 11 8 10 3 4 1
"combn40" 10 7 11 0 0 0
"combn41" 14 9 9 3 7 4
"combn42" 10 8 9 3 2 3
"combn43" 11 9 9 4 3 3
"combn44" 9 7 10 3 3 3
"combn45" 8 11 10 2 5 3
"combn46" 10 9 11 3 4 4
"combn47" 16 10 7 9 7 3
"combn48" 11 8 10 2 2 0
"combn49" 13 11 11 2 3 2
"combn50" 12 11 9 1 0 1
"combn51" 10 10 8 1 4 0
"combn52" 14 15 12 3 4 4
"combn53" 16 14 12 4 6 5
"combn54" 11 11 8 4 3 1
"combn55" 11 17 12 2 2 4
"combn56" 2 2 0 4 3 2
"combn57" 14 11 9 2 3 4
"combn58" 15 13 13 4 3 3
"combn59" 15 16 10 1 5 4
"combn60" 13 12 11 1 2 4
"combn61" 10 13 12 2 2 3
"combn62" 9 11 9 1 1 1
"combn63" 12 13 10 9 6 4
"combn64" 10 15 13 1 3 2
"combn65" 10 16 12 3 3 3
"combn66" 7 12 9 0 1 2
"combn67" 14 13 8 1 2 2
"combn68" 14 12 10 3 1 5
"combn69" 9 10 8 2 2 3
"combn70" 10 12 9 3 3 3
"combn71" 16 17 13 4 3 4
"combn72" 13 15 12 8 4 5
"combn73" 9 10 6 2 5 5
"combn74" 15 14 11 2 3 3
"combn75" 9 13 11 1 0 3
"combn76" 9 10 6 0 1 4
"combn77" 13 14 11 4 4 5
"combn78" 9 10 6 2 2 3
"combn79" 16 15 11 4 1 2
"combn80" 7 10 7 1 2 3
"combn81" 8 12 11 2 2 3
"combn82" 13 9 5 2 2 1
"combn83" 12 13 10 0 0 2
"combn84" 10 8 6 4 3 4
"combn85" 14 14 12 2 5 4
"combn86" 8 12 9 1 2 4
"combn87" 10 13 10 2 3 3
"combn88" 16 12 9 3 4 4
"combn89" 13 15 9 2 4 4
"combn90" 15 11 8 1 1 2
"combn91" 14 15 10 1 3 3
"combn92" 7 12 9 3 4 3
"combn93" 14 14 10 2 1 4
"combn94" 9 11 7 1 1 1
"combn95" 14 12 11 3 1 1
"combn96" 12 9 8 1 3 1
"combn97" 7 7 7 0 0 0
"combn98" 13 9 8 4 3 3
"combn99" 15 10 9 4 5 3
"combn100" 10 8 9 2 3 4
"combn101" 13 12 9 4 4 3
"combn102" 2 2 0 1 2 1
"combn103" 18 12 11 6 7 6
"combn104" 12 12 10 2 3 3
"combn105" 11 10 8 4 1 1
"combn106" 14 10 12 1 2 5
"combn107" 9 9 9 2 2 3
"combn108" 17 11 6 4 5 5
"combn109" 8 8 8 1 2 1
"combn110" 8 9 10 2 3 2
"combn111" 9 12 9 2 3 4
"combn112" 13 12 8 2 4 3
"combn113" 14 10 8 2 6 4
"combn114" 11 8 11 1 1 2
"combn115" 8 10 8 3 3 3
"combn116" 6 9 9 2 3 2
"combn117" 11 14 10 3 2 3
"combn118" 9 11 8 1 4 2
"combn119" 11 13 9 4 5 3
"combn120" 14 10 9 0 3 5
"combn121" 12 12 10 2 2 3
"combn122" 12 10 7 3 3 3
"combn123" 15 14 12 3 5 6
"combn124" 6 6 6 0 2 2
"combn125" 14 12 8 3 4 4
"combn126" 10 7 6 1 2 5
"combn127" 10 9 9 0 1 3
"combn128" 15 8 7 3 4 3
"combn129" 12 13 11 2 0 2
"combn130" 8 8 8 3 3 3
"combn131" 13 11 9 5 5 4
"combn132" 9 10 9 3 4 2
"combn133" 9 13 10 3 2 2
"combn134" 18 13 13 8 11 8
"combn135" 15 11 10 2 2 3
"combn136" 14 7 5 1 3 5
"combn137" 13 12 11 4 4 1
"combn138" 12 11 10 3 4 3
"combn139" 13 13 11 5 4 4
"combn140" 14 9 10 3 7 5
"combn141" 15 15 11 5 5 5
"combn142" 7 7 7 0 2 2
"combn143" 12 15 11 3 3 4
"combn144" 13 12 11 3 3 3
"combn145" 13 13 9 2 2 2
"combn146" 8 11 10 2 3 4
"combn147" 2 1 0 1 2 2
"combn148" 12 11 9 0 3 3
