"expr" "time"
<<<<<<< HEAD
"gren1" "fit.gren1 <- gren(xtrain, ytrain, partitions = part, alpha = 0.05,      trace = FALSE)" 100957438875
"gren2" "fit.gren2 <- gren(xtrain, ytrain, partitions = part, alpha = 0.5,      trace = FALSE)" 80277904084
"gren3" "fit.gren3 <- gren(xtrain, ytrain, partitions = part, alpha = 0.95,      trace = FALSE)" 102636717116
"grridge" "fit.grridge <- grridge(t(xtrain), ytrain, list(corr = split(1:p,      part$corr), pv = split(1:p, part$pv)))" 54340910379
"sgl1" "{     fit.sgl1 <- cvSGL(list(x = xtrain, y = ytrain), as.numeric(as.factor(paste(corpart0,          pvpart0))), type = \"logit\", alpha = 0.05)     fit.sgl1$fit$type <- \"logit\" }" 449195962300
"sgl2" "{     fit.sgl2 <- cvSGL(list(x = xtrain, y = ytrain), as.numeric(as.factor(paste(corpart0,          pvpart0))), type = \"logit\", alpha = 0.5)     fit.sgl2$fit$type <- \"logit\" }" 451853516561
"sgl3" "{     fit.sgl3 <- cvSGL(list(x = xtrain, y = ytrain), as.numeric(as.factor(paste(corpart0,          pvpart0))), type = \"logit\", alpha = 0.95)     fit.sgl3$fit$type <- \"logit\" }" 567466009018
"cmcp1" "fit.cmcp1 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"cMCP\", family = \"binomial\", alpha = 0.05)" 5799011667
"cmcp2" "fit.cmcp2 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"cMCP\", family = \"binomial\", alpha = 0.5)" 6119157392
"cmcp3" "fit.cmcp3 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"cMCP\", family = \"binomial\", alpha = 0.95)" 9342786686
"gel1" "fit.gel1 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"gel\", family = \"binomial\", alpha = 0.05)" 4695208171
"gel2" "fit.gel2 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"gel\", family = \"binomial\", alpha = 0.5)" 5431188739
"gel3" "fit.gel3 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"gel\", family = \"binomial\", alpha = 0.95)" 6847815470
"ocmcp1" "fit.ocmcp1 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"cMCP\",      family = \"binomial\", alpha = 0.05)" 10303366001
"ocmcp2" "fit.ocmcp2 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"cMCP\",      family = \"binomial\", alpha = 0.5)" 9233481333
"ocmcp3" "fit.ocmcp3 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"cMCP\",      family = \"binomial\", alpha = 0.95)" 15123139087
"ogel1" "fit.ogel1 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"gel\",      family = \"binomial\", alpha = 0.05)" 8806951466
"ogel2" "fit.ogel2 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"gel\",      family = \"binomial\", alpha = 0.5)" 11972374265
"ogel3" "{     fit.ogel3 <- grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"gel\",          family = \"binomial\", alpha = 0.95)     fit.ogel3 <- list(cve = NA, cvse = NA, lambda = fit.ogel3$lambda,          fit = fit.ogel3, min = 1, lambda.min = fit.ogel3$lambda,          null.dev = NA, pe = NA)     class(fit.ogel3) <- c(\"cv.grpregOverlap\", \"cv.grpreg\") }" 161462178
=======
"gren1" "fit.gren1 <- gren(xtrain, ytrain, partitions = part, alpha = 0.05,      trace = FALSE)" 84578960803
"gren2" "fit.gren2 <- gren(xtrain, ytrain, partitions = part, alpha = 0.5,      trace = FALSE)" 68366215130
"gren3" "fit.gren3 <- gren(xtrain, ytrain, partitions = part, alpha = 0.95,      trace = FALSE)" 83547272804
"grridge" "fit.grridge <- grridge(t(xtrain), ytrain, list(corr = split(1:p,      part$corr), pv = split(1:p, part$pv)))" 39715148774
"sgl1" "{     fit.sgl1 <- cvSGL(list(x = xtrain, y = ytrain), as.numeric(as.factor(paste(corpart0,          pvpart0))), type = \"logit\", alpha = 0.05)     fit.sgl1$fit$type <- \"logit\" }" 429176740302
"sgl2" "{     fit.sgl2 <- cvSGL(list(x = xtrain, y = ytrain), as.numeric(as.factor(paste(corpart0,          pvpart0))), type = \"logit\", alpha = 0.5)     fit.sgl2$fit$type <- \"logit\" }" 462940475164
"sgl3" "{     fit.sgl3 <- cvSGL(list(x = xtrain, y = ytrain), as.numeric(as.factor(paste(corpart0,          pvpart0))), type = \"logit\", alpha = 0.95)     fit.sgl3$fit$type <- \"logit\" }" 578213013627
"cmcp1" "fit.cmcp1 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"cMCP\", family = \"binomial\", alpha = 0.05)" 5778088487
"cmcp2" "fit.cmcp2 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"cMCP\", family = \"binomial\", alpha = 0.5)" 5345388371
