"ridge" "grridge" "gren1" "gren2" "gren3" "enet1" "enet2" "enet3" "cmcp1" "cmcp2" "cmcp3" "gel1" "gel2" "gel3"
"pred1" 0.606776017818506 0.619850424808351 0.596145351549921 0.62491932235883 0.59836800344882 0.588628139059772 0.492334728982756 0.391264988164159 0.550700267388784 0.531771823677085 0.531771823677085 0.445816316064087 0.235307888734621 0.269023762632599
"pred2" 0.513625624841913 0.512917595846255 0.568698162669195 0.62591994551341 0.669173234561669 0.561710921040585 0.622820588955286 0.666221243010563 0.586840471517169 0.605386372854694 0.605386372854694 0.839763226829943 0.257850318763886 0.0116965920368297
"pred3" 0.685523951026961 0.70135415203137 0.78806916511126 0.851743890445871 0.901068860005391 0.708003013144517 0.746145954403453 0.836952785368838 0.69046646635343 0.584422795503823 0.584422795503823 0.872322777298207 0.977980619113525 0.999902069507216
"pred4" 0.831781425275997 0.832403294725496 0.872604413645107 0.887519854516749 0.942661956792784 0.869740369429658 0.804886681701945 0.841044161162871 0.778995775909225 0.648571783859496 0.648571783859496 0.912757494162841 0.997735081400374 0.999999977824111
"pred5" 0.465060630754824 0.460265884017354 0.349420894706262 0.19010700588853 0.111657940239225 0.40742321445533 0.346626210750438 0.282649602098546 0.401944745204903 0.498424932662095 0.498424932662095 0.728034116841125 0.0126381442982923 1.44268000510936e-06
"pred6" 0.620336297774943 0.629617893072904 0.683852663781922 0.772372478852392 0.823069723199473 0.655859473325867 0.697294561020534 0.75226959264887 0.646644992455575 0.577655831766417 0.577655831766417 0.47133213032429 0.989510458866762 0.999996620048046
"pred7" 0.541756010437138 0.532126899652947 0.597832445674873 0.450646855225962 0.488898582172748 0.632433315479022 0.54807465350375 0.613161589247895 0.56408468344021 0.505984109499198 0.505984109499198 0.726883748153322 0.0198017730387556 0.000121655560681472
"pred8" 0.485407802556693 0.475279549899706 0.592470685359514 0.671377885331944 0.743818177978974 0.592857924201817 0.592881145722405 0.645605157738737 0.555949305574729 0.5840935413085 0.5840935413085 0.288272629200992 0.946239333644835 0.999941844892795
"pred9" 0.443649882876817 0.446741200458591 0.442197535673516 0.463035603748261 0.462441175177284 0.413426037424426 0.439648600782787 0.461498775192703 0.451003160030621 0.552929906804401 0.552929906804401 0.280736381169605 0.609135630404484 0.868945029654525
"pred10" 0.613723925531494 0.62489331845531 0.631409417458296 0.646318565730709 0.661393488368885 0.597066396474184 0.56246898081448 0.4914374179102 0.574229418697914 0.577271582816837 0.577271582816837 0.405788474401499 0.892990394640729 0.999587032989033
"pred11" 0.786196584654504 0.793328763198242 0.819481948388154 0.74404424178758 0.718111942496151 0.806682217555927 0.73371439142119 0.740245115158786 0.721301128329808 0.580405621662407 0.580405621662407 0.917616103079626 0.336398264850169 0.0845538168038527
"pred12" 0.704894659225395 0.705265162406544 0.716449339692896 0.595186515517964 0.578582291288532 0.713490007233824 0.665135492332439 0.702016421793662 0.631686771916531 0.563995722526054 0.563995722526054 0.822467779209774 0.490987859307296 0.251417699672145
"pred13" 0.718061050886229 0.708813826402634 0.728727909023203 0.742953467485428 0.739068377301005 0.733784810329018 0.708498296868918 0.717893037878135 0.708953087854205 0.55606676931475 0.55606676931475 0.946768290097156 0.940532064720636 0.990448132602987
"pred14" 0.534005102936649 0.534872286684573 0.516530682195141 0.626195239117999 0.617169689779371 0.52090468986341 0.569971116157015 0.479510505628982 0.588882555835276 0.568960005452859 0.568960005452859 0.165876768577894 0.969665396723939 0.999966366302127
"pred15" 0.703675107688039 0.714100712532931 0.656868555696974 0.602462229248482 0.588824429895774 0.67500554620522 0.566253802364568 0.60548722899826 0.582006570141461 0.560289566558603 0.560289566558603 0.805379399556219 0.104908925762694 0.000106423757449012
"pred16" 0.286086442895343 0.282763244908946 0.264018972466432 0.275046672833705 0.163021424761254 0.270185529154086 0.307231415080041 0.241376681665843 0.332174112308592 0.540213659561529 0.540213659561529 0.272668028720088 0.146204636491839 0.0395606391768723
"pred17" 0.669550261381368 0.683854344067524 0.663431105999481 0.642709432693467 0.611511108733665 0.631214078790225 0.547474727123978 0.507117195193386 0.569101359069138 0.534358451400284 0.534358451400284 0.692988458313967 0.861587343648138 0.981420111655017
"pred18" 0.450586391421249 0.451631925099337 0.373341471354146 0.439890170454921 0.374275311726671 0.371922207677533 0.471406898254314 0.451600251573921 0.477249300307502 0.556984579372966 0.556984579372966 0.280750361171831 0.221189929393626 0.0691175824409858
"pred19" 0.296068447631078 0.285388513023455 0.340169092191126 0.341514271205911 0.317802170272308 0.372775089405246 0.515846452592958 0.532002483483901 0.484859163659377 0.548469045290064 0.548469045290064 0.444386743262791 0.0377040957104518 0.000241898864140637
"pred20" 0.5464975719558 0.538059064483811 0.510924780965624 0.519783124399874 0.462920726016042 0.526673148099843 0.548813168809205 0.493635839348013 0.557293102174029 0.581308029862397 0.581308029862397 0.539726741731739 0.778438204256764 0.939676391271936
"pred21" 0.893041668287992 0.903105641407975 0.916737359815608 0.91484273765373 0.945754847475857 0.888299748887662 0.790491145827716 0.859475501409845 0.762372380607883 0.611726220463653 0.611726220463653 0.953395966972382 0.994721358474926 0.999846053854184
"pred22" 0.598979720928326 0.617036865067306 0.734207195828768 0.764730844090425 0.821253293167122 0.680067462485101 0.711538625112243 0.780106418515997 0.65365091558474 0.594754712374246 0.594754712374246 0.656723380306133 0.915669619085407 0.999311126724936
"pred23" 0.622616808543813 0.622416936492177 0.542777850335379 0.624472804304851 0.586700038306221 0.520098185763965 0.712989608116148 0.689447022098286 0.65205671898697 0.58335788016721 0.58335788016721 0.467244172657415 0.894648389723047 0.99998811108181
"pred24" 0.581692396296133 0.584135913444567 0.654000087164723 0.617380946903171 0.687113549398885 0.639659415571091 0.613886186870341 0.736848269731859 0.573601087149505 0.546409522814241 0.546409522814241 0.730061985500095 0.662029794666336 0.511875289323035
"pred25" 0.393811251908023 0.387712445353113 0.374350425242743 0.348781902933894 0.272313804819647 0.405876254357172 0.423794036946357 0.336744511030682 0.445657212250024 0.540246725355682 0.540246725355682 0.440989780966576 0.0173374828380921 4.46838432775519e-05
"pred26" 0.521404813408859 0.506495234181869 0.464152932933883 0.48615199385792 0.411977731722529 0.479618870805579 0.499218454339209 0.418333080977511 0.507712826037128 0.555204098947837 0.555204098947837 0.425337048007537 0.81729960064313 0.99874567168526
"pred27" 0.442468327072335 0.432417812397103 0.307088423813821 0.216217449387011 0.163506166482317 0.342041604835951 0.251279651705202 0.173866372396906 0.341395941821068 0.521796392949447 0.521796392949447 0.500855887305678 0.0492620844451004 0.00157844661133055
"pred28" 0.258440382083693 0.24984810460788 0.242252462995168 0.348473765188662 0.300524026914255 0.25350273381802 0.318396402887428 0.269226490681011 0.361602862819333 0.590366819121431 0.590366819121431 0.0471454722051621 0.12350771928334 0.125144599389176
"pred29" 0.519416280074608 0.524122052446835 0.461552996817588 0.579129918074972 0.605244129138433 0.415072929732359 0.498975657197927 0.500498917927487 0.502636138926103 0.550047578257017 0.550047578257017 0.523937290208816 0.229335308801393 0.00600438215473115
"pred30" 0.493218711893345 0.519835565477184 0.620201513539571 0.791484133909058 0.874185300984853 0.501323322000348 0.508177015850694 0.564315443129205 0.513733414051471 0.553313871929804 0.553313871929804 0.293999002587799 0.666841882404174 0.0418908687149666
"pred31" 0.629975256061683 0.63892413916212 0.665340105089889 0.581245801994297 0.617857982551494 0.648441613892335 0.621619796687062 0.684474833517184 0.61008461816918 0.55014443379778 0.55014443379778 0.725539796346588 0.334717901493567 0.0491149943886624
"pred32" 0.667933551873799 0.681298298832684 0.730152899132125 0.705109224509438 0.824481005640237 0.720646975941276 0.669752102378612 0.829561741728029 0.635185181168499 0.58128729585349 0.58128729585349 0.708220442254609 0.913034774520713 0.996409208855442
"pred33" 0.539408574610957 0.530565898531876 0.524351615202115 0.480121161126323 0.531116317682835 0.535049784840549 0.579589107854352 0.70134007243323 0.554823316112932 0.568374548818219 0.568374548818219 0.779764022464562 0.604892985008571 0.949765273503528
"pred34" 0.61031250912352 0.586331222363774 0.450935374540434 0.457113562606663 0.287917316184919 0.466369375881256 0.326307338276887 0.191043823807436 0.443363035573214 0.510996672168491 0.510996672168491 0.630322471709865 0.64177458846272 0.722944265211237
"pred35" 0.388931959179494 0.380604999823345 0.363785567137422 0.447744525766457 0.4477791041117 0.376861084312856 0.424161612655379 0.415930815640251 0.441245530798941 0.591092130597036 0.591092130597036 0.203312061072974 0.312592118445514 0.183952250056432
"pred36" 0.571134912680165 0.599896194488399 0.600326768499502 0.671427173800718 0.694401888546943 0.536355456641334 0.445900681201288 0.475556905007485 0.470479715970957 0.584362706193107 0.584362706193107 0.62216057137879 0.606684323752083 0.779178739439616
"pred37" 0.791882326810787 0.803353213656422 0.796553290990772 0.694718372200016 0.697640771367719 0.787359329740868 0.700600567817763 0.719136686329917 0.690582712378364 0.600640165497765 0.600640165497765 0.894353218814138 0.748109021171226 0.264819840172279
"pred38" 0.372176217065595 0.365171858233514 0.235851141044769 0.22858810076324 0.15294263070467 0.291079756701108 0.401277943984109 0.329032633388884 0.423297910334044 0.555992245980811 0.555992245980811 0.251249361934618 0.0159397870676032 5.14202605921849e-05
"pred39" 0.264782907498317 0.251669617554095 0.125494607229936 0.172244430469257 0.101242948503746 0.164908681117722 0.38170794406687 0.278112507450217 0.401582229265164 0.542582039474839 0.542582039474839 0.125060438320659 0.00203978058503109 2.2363943874954e-08
"pred40" 0.754039125866282 0.756033780619086 0.730729792727786 0.705463531562084 0.721627293134501 0.73873963351288 0.710813495793311 0.682499802956985 0.709380120956446 0.581769367189947 0.581769367189947 0.81412723920676 0.811450286886213 0.984104785697358
"pred41" 0.45721495738704 0.449285146046215 0.440082877458789 0.528413755893497 0.461116329338289 0.458133947300597 0.587853054150179 0.531469602291599 0.58565956577743 0.543157137565559 0.543157137565559 0.309716866683002 0.300252669718779 0.325617336933947
"pred42" 0.308781523014678 0.295696773649633 0.275576079514585 0.305774889277121 0.233596942491874 0.300645345092512 0.446712554573266 0.411205597682346 0.452463182022353 0.574836369001678 0.574836369001678 0.277320274867408 0.124094072183579 0.0380452540005927
"pred43" 0.489242668809697 0.466511342807824 0.349727076432019 0.223420780244967 0.139813778456512 0.442257167267945 0.432069307720098 0.351718017025172 0.494735354033324 0.486861853329622 0.486861853329622 0.810654826511665 0.284092300190078 0.501489917716912
"pred44" 0.730692005546807 0.731951549160433 0.768617853693326 0.563336416906493 0.588244630031114 0.791579465505906 0.618926797486856 0.709411666930057 0.631834075274258 0.539893920656768 0.539893920656768 0.944119603196185 0.81255073111514 0.989956522598275
"pred45" 0.529315986310627 0.526699809955374 0.515164275544589 0.473852814548394 0.420871663038151 0.552976331801039 0.541853808642107 0.461895781661592 0.549778330982125 0.563953680715654 0.563953680715654 0.449083160163027 0.194401453959924 0.00650025675230655
"pred46" 0.610050391816389 0.62186001557105 0.5822592120145 0.61965122091099 0.536832199132004 0.566674710388483 0.607726965989197 0.472832749123006 0.615601931916158 0.545616077862461 0.545616077862461 0.478842169879107 0.879049288729585 0.991846645435091
"pred47" 0.409051768331623 0.404487636811555 0.394000578169496 0.369958991668674 0.337484740674766 0.416413847146925 0.436521941360335 0.424857605351006 0.449797034055227 0.563106330610862 0.563106330610862 0.552270584433669 0.194440684354511 0.125619705090836
"pred48" 0.599141024341365 0.59336854740201 0.573607945981734 0.597641938824166 0.671241483165035 0.593599508133721 0.704642809969031 0.792124496371763 0.664628457494041 0.55758338766951 0.55758338766951 0.780013914899159 0.782723683418876 0.874291405563832
"pred49" 0.278909177202697 0.256066293178002 0.1633893439618 0.197424409783821 0.144914294467877 0.205506768025252 0.332568693658638 0.198531148389552 0.394957890305383 0.527848186374149 0.527848186374149 0.167902939557778 0.0449049670466947 0.000279224474731074
"pred50" 0.617945488112671 0.620871923152479 0.491554934501839 0.450542586990983 0.413352349414268 0.514730111385864 0.570910586810326 0.583999208882194 0.557375586782741 0.587112315692408 0.587112315692408 0.573967472406207 0.21325358024902 0.0336143612267939
"pred51" 0.477801649275667 0.457462053835466 0.53043241205249 0.581764383082423 0.576783781493637 0.554303640945362 0.5721199534181 0.603109631176431 0.566180851842308 0.549621903240172 0.549621903240172 0.572858454660398 0.29689916566343 0.0176785255949086
"pred52" 0.76410813400395 0.774328418417877 0.769185977717102 0.754623369570001 0.743349173041485 0.743095755773146 0.71179875779469 0.697818864410878 0.683860363291574 0.636332169785036 0.636332169785036 0.812971546275636 0.583315130262807 0.0121715834320849
"pred53" 0.671809601934176 0.671848609862995 0.732608601724411 0.635518915279908 0.65584228444202 0.707558106748308 0.634640713589265 0.702667471532503 0.618868533323769 0.576278686973979 0.576278686973979 0.868884991363397 0.678842529377716 0.968698617547853
"pred54" 0.560974170333765 0.564937546031127 0.608608237924459 0.52857840976776 0.540200481564443 0.6210729180714 0.611679945593474 0.633662798625151 0.597055074519033 0.601651673999345 0.601651673999345 0.504713369896928 0.713442678722742 0.958339184950529
"pred55" 0.701477199956742 0.702112534840259 0.678200897987115 0.706958019178241 0.772574013818576 0.698299924266889 0.698217995730243 0.723832965207231 0.679102563442195 0.605019961560492 0.605019961560492 0.843624440601653 0.690497683842629 0.14327942487349
"pred56" 0.585641148060668 0.590384088136941 0.514661387265421 0.479899574454456 0.409946956625512 0.518702427539915 0.520794521097981 0.473115570512789 0.539966652926619 0.53337622216187 0.53337622216187 0.594252013736927 0.309105308759002 0.0140162528967661
"pred57" 0.787209890327222 0.78659296511526 0.720051629460119 0.67568859220498 0.720837405655965 0.759128990032149 0.739817581754382 0.770324919502305 0.718489998899691 0.572159807623951 0.572159807623951 0.902958618781529 0.176037328799009 0.00583632589646576
"pred58" 0.423204205334735 0.403875114227228 0.30171729816821 0.266122860286289 0.150276601161179 0.34723309125059 0.38177973756327 0.228321513879528 0.454212625121168 0.546664005617712 0.546664005617712 0.244393308701114 0.0544762702020329 0.00115396186304125
"pred59" 0.554294527782394 0.575831186889017 0.695588757612141 0.797151190327913 0.793138249650751 0.588351313185686 0.653133619104388 0.581567572061472 0.619458952461017 0.615649461397831 0.615649461397831 0.581510426482925 0.93068513208191 0.996783865860865
